Database connected successfully
Path-to-regexp module configured for error handling.
Server running in development mode on port 3000
URL validation and sanitization enabled.
Processing URL: /
Processing URL: /
Processing URL: /
Processing URL: /
Processing URL: /animations.js
Processing URL: /homePage.js
Processing URL: /images/Fork.jpg
Processing URL: /css/homePage.css
Processing URL: /css/loginModal.css
Processing URL: /Signing/auth.css
Processing URL: /images/jpeg-optimizer_istockphoto-981092168-1024x1024.jpg
Processing URL: /images/jpeg-optimizer_a-romantic-tray-of-roses-and-breakfast.jpg
Processing URL: /images/jpeg-optimizer_bacon-and-eggs-breakfast.jpg
Processing URL: /images/jpeg-optimizer_bentoBoxMeal.jpg
Processing URL: /modal.js
Processing URL: /public/js/animations.js
Processing URL: /public/js/homePage.js
Processing URL: /Signing/signIn.js
Processing URL: /Signing/signUp.js
Processing URL: /images/jpeg-optimizer_black-coffee-and-a-croissant.jpg
Processing URL: /images/jpeg-optimizer_brooke-lark-HjWzkqW1dgI-unsplash.jpg
Processing URL: /images/jpeg-optimizer_burgers-575655_1280.png
Processing URL: /images/jpeg-optimizer_burgersAndFries.jpg
Processing URL: /images/jpeg-optimizer_cake1.jpg
Processing URL: /images/jpeg-optimizer_foodiesfeed.com_strawberry-milk-splash.jpg
Processing URL: /images/jpeg-optimizer_foodPlatter.jpg
Processing URL: /images/jpeg-optimizer_frenchFris.jpg
Processing URL: /images/jpeg-optimizer_fried-chicken-wings-pub-food.jpg
Processing URL: /images/frenchFris.jpg
Processing URL: /images/fried-chicken-wings-pub-food.jpg
Processing URL: /images/jpeg-optimizer_friedSnacks%20(1).jpg
Processing URL: /css/Assets/myImages/backgroundImage.jpg
Processing URL: /images/jpeg-optimizer_friedSnacks.jpg
Processing URL: /images/jpeg-optimizer_glass-32068_1280.png
Processing URL: /images/jpeg-optimizer_grilledHotDogs.jpg
Processing URL: /images/jpeg-optimizer_half-of-an-avocado.jpg
Processing URL: /images/jpeg-optimizer_hamburger-8597939_1280.png
Processing URL: /images/jpeg-optimizer_hand-holds-up-a-two-scoop-ice-cream-cone.jpg
Processing URL: /images/jpeg-optimizer_healthy-beet-juice.jpg
Processing URL: /images/jpeg-optimizer_hotDog1.jpg
Processing URL: /images/jpeg-optimizer_hotDogsFries.jpg
Processing URL: /images/pix4.jpg
Processing URL: /images/jpeg-optimizer_istockphoto-1370520449-1024x1024.jpg
Processing URL: /images/jpeg-optimizer_istockphoto-1400194993-1024x1024.jpg
Processing URL: /images/jpeg-optimizer_istockphoto-1425087192-1024x1024.jpg
Processing URL: /images/jpeg-optimizer_pix3%20(1).jpg
Processing URL: /images/jpeg-optimizer_istockphoto-1472849554-1024x1024.jpg
Processing URL: /images/jpeg-optimizer_istockphoto-1509698749-1024x1024.jpg
Processing URL: /images/jpeg-optimizer_istockphoto-1509702696-1024x1024.jpg
Processing URL: /images/jpeg-optimizer_pix3.jpg
Processing URL: /images/jpeg-optimizer_istockphoto-2154717675-1024x1024.jpg
Processing URL: /images/jpeg-optimizer_istockphoto-2175769334-1024x1024.jpg
Processing URL: /images/jpeg-optimizer_istockphoto-452813985-1024x1024.jpg
Processing URL: /images/jpeg-optimizer_a-romantic-tray-of-roses-and-breakfast%20(1).jpg
Processing URL: /images/jpeg-optimizer_a-cocktail-with-a-touch-of-class.jpg
Processing URL: /images/jpeg-optimizer_frenchFris.jpg
Processing URL: /images/frenchFris.jpg
Processing URL: /images/jpeg-optimizer_fried-chicken-wings-pub-food.jpg
Processing URL: /favicon.ico
Processing URL: /animations.js
Processing URL: /homePage.js
Processing URL: /modal.js
Processing URL: /public/js/animations.js
Processing URL: /public/js/homePage.js
Processing URL: /Signing/signIn.js
Processing URL: /Signing/signUp.js
Processing URL: /checkOut/checkOut.html
Processing URL: /checkOut/animations.js
Processing URL: /checkOut/homePage.js
Processing URL: /checkOut/Signing/auth.css
Processing URL: /css/homePage.css
Processing URL: /css/loginModal.css
Processing URL: /images/Fork.jpg
Processing URL: /images/jpeg-optimizer_istockphoto-981092168-1024x1024.jpg
Processing URL: /images/jpeg-optimizer_a-romantic-tray-of-roses-and-breakfast.jpg
Processing URL: /images/jpeg-optimizer_bacon-and-eggs-breakfast.jpg
Processing URL: /checkOut/modal.js
Processing URL: /images/jpeg-optimizer_bentoBoxMeal.jpg
Processing URL: /public/js/animations.js
Processing URL: /public/js/homePage.js
Processing URL: /modal.js
Processing URL: /Signing/signIn.js
Processing URL: /Signing/signUp.js
Processing URL: /images/jpeg-optimizer_black-coffee-and-a-croissant.jpg
Processing URL: /images/jpeg-optimizer_brooke-lark-HjWzkqW1dgI-unsplash.jpg
Processing URL: /images/jpeg-optimizer_burgers-575655_1280.png
Processing URL: /checkOut/animations.js
Processing URL: /images/jpeg-optimizer_burgersAndFries.jpg
Processing URL: /images/jpeg-optimizer_cake1.jpg
Processing URL: /images/jpeg-optimizer_foodiesfeed.com_strawberry-milk-splash.jpg
Processing URL: /images/jpeg-optimizer_foodPlatter.jpg

